Year,Region,April,March,May,MAM,Mean_SOS
2018,Alpine,9.844686972128379,-0.0563610180004223,12.93879493507179,7.575706963066582,115.473726
2018,Dinaric,11.70747824276195,1.6152137307559742,14.82564140768612,9.38277779373468,113.892859
2018,Pohorje,12.152303695678711,0.9611721038818359,14.858762741088867,9.324079513549805,107.597349
2018,Pre-Alpine,12.507470172384512,2.0611472751783286,15.561752982761549,10.04345681010813,107.369495
2018,Pre-Dinaric,13.2812841796875,2.67654541015625,16.35376953125,10.770533040364583,103.964381
2018,Pannonian,14.37521650206368,3.183776279665389,17.330197892099058,11.629730224609375,99.491112
2018,Sub-Mediterranean,13.05874181676794,4.008872703269676,16.63943142361111,11.23568198121624,107.76962
2019,Alpine,7.2036726668074325,3.8540047310494088,8.410464724978885,6.489380707611908,125.013713
2019,Dinaric,8.796475578756894,6.049447452320772,9.831002628102022,8.225641886393229,124.105748
2019,Pohorje,9.042526245117188,5.626604080200195,10.013490676879883,8.227540334065756,120.16035
2019,Pre-Alpine,9.713321188221807,6.5266876220703125,10.795281451681387,9.011763420657834,119.118249
2019,Pre-Dinaric,10.2579736328125,7.495120849609375,11.225340576171876,9.659478352864584,113.125904
2019,Pannonian,11.08262778228184,7.935822920365767,12.20958205888856,10.409344253845388,110.027343
2019,Sub-Mediterranean,10.389110423900464,7.49619886610243,11.495550084997106,9.793619791666666,118.891992
2020,Alpine,8.478816676784206,2.7324095030088684,11.063696783942145,7.424974321245074,120.327167
2020,Dinaric,9.804544785443474,4.595604391659007,12.57206277286305,8.990737316655178,118.300723
2020,Pohorje,9.955190658569336,4.301105499267578,12.315454483032227,8.857250213623047,114.554659
2020,Pre-Alpine,10.64807991359545,5.303909965183424,13.304599927819293,9.752196602199389,114.184379
2020,Pre-Dinaric,11.228643798828125,5.978280029296875,13.90040771484375,10.369110514322918,108.249801
2020,Pannonian,11.951888174380896,6.682789352704894,14.48214433778007,11.038940621621954,104.433668
2020,Sub-Mediterranean,11.097789623119214,6.14788818359375,14.225509078414351,10.49039562837577,113.926993
2021,Alpine,4.213007746516047,2.021610569309544,8.832394986539274,5.022337767454955,132.436242
2021,Dinaric,5.837183335248162,4.006785673253677,10.897535436293659,6.913834814931832,130.240256
2021,Pohorje,5.76738166809082,3.428140640258789,10.59251594543457,6.5960127512613935,126.701878
2021,Pre-Alpine,6.749283500339674,4.497245456861413,11.386689559273098,7.5444061721580615,123.633047
2021,Pre-Dinaric,7.1259521484375,5.049521484375,12.17092529296875,8.115466308593751,117.139805
2021,Pannonian,8.055276546838149,5.440159059920401,13.083694170106131,8.85970992562156,116.102089
2021,Sub-Mediterranean,7.7273989076967595,5.389562536168982,12.5311200177228,8.54936048719618,127.380488
